text,category,tokens,processed_text
"Здравствуйте, как я могу получить адресную справку онлайн через портал egov.kz?",Запрос на госуслугу,"['здравствовать', 'мочь', 'получить', 'адресный', 'справка', 'онлайн', 'портал']",здравствовать мочь получить адресный справка онлайн портал
Почему портал электронного правительства постоянно выдает ошибку при попытке подписать заявление с помощью ЭЦП?,Техническая проблема,"['почему', 'портал', 'электронный', 'правительство', 'постоянно', 'выдавать', 'ошибка', 'попытка', 'подписать', 'заявление', 'помощь', 'эцп']",почему портал электронный правительство постоянно выдавать ошибка попытка подписать заявление помощь эцп
Выражаю благодарность сотруднику ЦОНа №3 города Астаны за оперативную помощь в оформлении документов.,Предложение/Отзыв,"['выражать', 'благодарность', 'сотрудник', 'цон', 'город', 'астаны', 'оперативный', 'помощь', 'оформление', 'документ']",выражать благодарность сотрудник цон город астаны оперативный помощь оформление документ
"Не могу записаться на прием в поликлинику через мобильное приложение Damumed, кнопка записи неактивна.",Техническая проблема,"['мочь', 'записаться', 'прием', 'поликлиника', 'мобильный', 'приложение', 'кнопка', 'запись', 'неактивный']",мочь записаться прием поликлиника мобильный приложение кнопка запись неактивный
"Какие документы необходимы для регистрации рождения ребенка, если один из родителей иностранец?",Запрос на госуслугу,"['какой', 'документ', 'необходимый', 'регистрация', 'рождение', 'ребенок', 'родитель', 'иностранец']",какой документ необходимый регистрация рождение ребенок родитель иностранец
Ужасное обслуживание! Оператор горячей линии был очень груб и не смог ответить на мой вопрос по существу.,Жалоба,"['ужасный', 'обслуживание', 'оператор', 'горячий', 'линия', 'очень', 'грубый', 'смочь', 'ответить', 'вопрос', 'существо']",ужасный обслуживание оператор горячий линия очень грубый смочь ответить вопрос существо
"Предлагаю улучшить навигацию на вашем сайте, очень сложно найти нужную информацию о социальных выплатах.",Предложение/Отзыв,"['предлагать', 'улучшить', 'навигация', 'ваш', 'сайт', 'очень', 'сложный', 'найти', 'нужный', 'информация', 'социальный', 'выплата']",предлагать улучшить навигация ваш сайт очень сложный найти нужный информация социальный выплата
"Мое обращение по поводу ремонта дороги зарегистрировано под номером 12345, но до сих пор нет никакого ответа. Прошу ускорить рассмотрение.",Жалоба,"['мой', 'обращение', 'повод', 'ремонт', 'дорога', 'зарегистрировать', 'номер', 'сей', 'пора', 'никакой', 'ответ', 'просить', 'ускорить', 'рассмотрение']",мой обращение повод ремонт дорога зарегистрировать номер сей пора никакой ответ просить ускорить рассмотрение
"Как получить справку о несудимости, если я нахожусь за границей? Возможна ли подача онлайн?",Запрос на госуслугу,"['получить', 'справка', 'несудимость', 'находиться', 'граница', 'возможный', 'подача', 'онлайн']",получить справка несудимость находиться граница возможный подача онлайн
Неверно указана моя фамилия в базе данных. Как можно исправить эту ошибку? Подавал заявку через egov.,Техническая проблема,"['неверно', 'указать', 'фамилия', 'база', 'данные', 'исправить', 'ошибка', 'подавать', 'заявка']",неверно указать фамилия база данные исправить ошибка подавать заявка
"Хочу узнать, какие льготы положены многодетным семьям в этом году в Казахстане.",Консультация/Вопрос,"['хотеть', 'узнать', 'какой', 'льгота', 'положенный', 'многодетный', 'семья', 'год', 'казахстан']",хотеть узнать какой льгота положенный многодетный семья год казахстан
"Сайт государственных закупок работает очень медленно, невозможно загрузить тендерную документацию.",Техническая проблема,"['сайт', 'государственный', 'закупка', 'работать', 'очень', 'медленно', 'невозможный', 'загрузить', 'тендерный', 'документация']",сайт государственный закупка работать очень медленно невозможный загрузить тендерный документация
Спасибо за быстрый ответ на предыдущее обращение! Проблема была решена.,Предложение/Отзыв,"['спасибо', 'быстрый', 'ответ', 'предыдущий', 'обращение', 'проблема', 'решить']",спасибо быстрый ответ предыдущий обращение проблема решить
Почему для получения простой справки нужно стоять в очереди по два часа? Это недопустимо в XXI веке!,Жалоба,"['почему', 'получение', 'простой', 'справка', 'нужный', 'стоять', 'очередь', 'час', 'это', 'недопустимый', 'век']",почему получение простой справка нужный стоять очередь час это недопустимый век
Необходима консультация по поводу открытия ИП. Какие налоги нужно будет платить?,Консультация/Вопрос,"['необходимый', 'консультация', 'повод', 'открытие', 'ип', 'какой', 'налог', 'нужный', 'платить']",необходимый консультация повод открытие ип какой налог нужный платить
"Я подавал заявление на смену удостоверения личности две недели назад, статус до сих пор 'в обработке'. Когда будет готово?",Запрос на госуслугу,"['подавать', 'заявление', 'смена', 'удостоверение', 'личность', 'два', 'неделя', 'назад', 'статус', 'сей', 'пора', 'обработка', 'готовый']",подавать заявление смена удостоверение личность два неделя назад статус сей пора обработка готовый
Прошу рассмотреть возможность добавления казахского языка интерфейса в мобильное приложение вашего ведомства.,Предложение/Отзыв,"['просить', 'рассмотреть', 'возможность', 'добавление', 'казахский', 'язык', 'интерфейс', 'мобильный', 'приложение', 'ваш', 'ведомство']",просить рассмотреть возможность добавление казахский язык интерфейс мобильный приложение ваш ведомство
"При попытке оплатить штраф онлайн через Kaspi платеж не проходит, выдает ошибку 'сервис временно недоступен'.",Техническая проблема,"['попытка', 'оплатить', 'штраф', 'онлайн', 'платеж', 'проходить', 'выдавать', 'ошибка', 'сервис', 'временно', 'недоступный']",попытка оплатить штраф онлайн платеж проходить выдавать ошибка сервис временно недоступный
Где можно найти актуальный список аккредитованных учебных центров для повышения квалификации?,Консультация/Вопрос,"['найти', 'актуальный', 'список', 'аккредитовать', 'учебный', 'центр', 'повышение', 'квалификация']",найти актуальный список аккредитовать учебный центр повышение квалификация
"Я потерял ИИН, как его можно восстановить и какие документы для этого нужны?",Запрос на госуслугу,"['потерять', 'иин', 'восстановить', 'какой', 'документ', 'нужный']",потерять иин восстановить какой документ нужный
"Качество мобильной связи в нашем районе очень плохое, интернет практически отсутствует. Это зона ответственности какого ведомства?",Жалоба,"['качество', 'мобильный', 'связь', 'наш', 'район', 'очень', 'плохой', 'интернет', 'практически', 'отсутствовать', 'это', 'зона', 'ответственность', 'какой', 'ведомство']",качество мобильный связь наш район очень плохой интернет практически отсутствовать это зона ответственность какой ведомство
"Было бы здорово, если бы можно было отслеживать статус всех своих обращений в госорганы в одном месте.",Предложение/Отзыв,"['здоровый', 'отслеживать', 'статус', 'свой', 'обращение', 'госорган', 'один', 'место']",здоровый отслеживать статус свой обращение госорган один место
"Не могу обновить ЭЦП, система пишет 'срок действия ключей истек', хотя они должны быть действительны еще месяц.",Техническая проблема,"['мочь', 'обновить', 'эцп', 'система', 'писать', 'срок', 'действие', 'ключ', 'истечь', 'хотя', 'должный', 'действительный', 'месяц']",мочь обновить эцп система писать срок действие ключ истечь хотя должный действительный месяц
Какие существуют программы государственной поддержки для молодых предпринимателей в сельской местности?,Консультация/Вопрос,"['какой', 'существовать', 'программа', 'государственный', 'поддержка', 'молодой', 'предприниматель', 'сельский', 'местность']",какой существовать программа государственный поддержка молодой предприниматель сельский местность
Подал заявку на получение земельного участка. Как долго ждать ответа и от чего зависят сроки?,Запрос на госуслугу,"['подать', 'заявка', 'получение', 'земельный', 'участок', 'долго', 'ждать', 'ответ', 'зависеть', 'срок']",подать заявка получение земельный участок долго ждать ответ зависеть срок
"Не могу войти в egov, пишет 'пользователь не найден', хотя ИИН ввожу правильно.",Техническая проблема,"['мочь', 'войти', 'писать', 'пользователь', 'найти', 'хотя', 'иин', 'вводить', 'правильно']",мочь войти писать пользователь найти хотя иин вводить правильно
Как получить справку об отсутствии (наличии) недвижимого имущества на ребенка?,Запрос на госуслугу,"['получить', 'справка', 'отсутствие', 'наличие', 'недвижимый', 'имущество', 'ребенок']",получить справка отсутствие наличие недвижимый имущество ребенок
Прошу рассмотреть возможность интеграции сервиса проверки штрафов ПДД напрямую в мобильное приложение банка.,Предложение/Отзыв,"['просить', 'рассмотреть', 'возможность', 'интеграция', 'сервис', 'проверка', 'штраф', 'пдд', 'напрямую', 'мобильный', 'приложение', 'банк']",просить рассмотреть возможность интеграция сервис проверка штраф пдд напрямую мобильный приложение банк
"В ЦОНе №1 г. Алматы огромные очереди, работает всего два окна на выдачу документов.",Жалоба,"['цон', 'г', 'алматы', 'огромный', 'очередь', 'работать', 'окно', 'выдача', 'документ']",цон г алматы огромный очередь работать окно выдача документ
Какие сроки рассмотрения заявления на получение пособия по уходу за ребенком до года?,Консультация/Вопрос,"['какой', 'срок', 'рассмотрение', 'заявление', 'получение', 'пособие', 'уход', 'ребенок', 'год']",какой срок рассмотрение заявление получение пособие уход ребенок год
"Добрый день, хотел бы зарегистрировать ТОО. Какие шаги предпринять на портале?",Запрос на госуслугу,"['добрый', 'день', 'хотеть', 'зарегистрировать', 'тоо', 'какой', 'шаг', 'предпринять', 'портал']",добрый день хотеть зарегистрировать тоо какой шаг предпринять портал
После обновления мобильного приложения eGov mobile пропала история моих обращений.,Техническая проблема,"['обновление', 'мобильный', 'приложение', 'пропасть', 'история', 'мой', 'обращение']",обновление мобильный приложение пропасть история мой обращение
Благодарю оператора Асем за подробную консультацию по вопросу получения ИИН для иностранца.,Предложение/Отзыв,"['благодарить', 'оператор', 'асем', 'подробный', 'консультация', 'вопрос', 'получение', 'иин', 'иностранец']",благодарить оператор асем подробный консультация вопрос получение иин иностранец
"Почему начислена пеня за налог на транспорт, если я оплатил его вовремя? Есть квитанция.",Жалоба,"['почему', 'начислить', 'пеня', 'налог', 'транспорт', 'оплатить', 'вовремя', 'квитанция']",почему начислить пеня налог транспорт оплатить вовремя квитанция
"Можно ли получить дубликат свидетельства о браке, если оригинал утерян?",Запрос на госуслугу,"['получить', 'дубликат', 'свидетельство', 'брак', 'оригинал', 'утерять']",получить дубликат свидетельство брак оригинал утерять
"Страница с результатами ЕНТ не открывается, выдает ошибку 500.",Техническая проблема,"['страница', 'результат', 'ента', 'открываться', 'выдавать', 'ошибка']",страница результат ента открываться выдавать ошибка
"Хотелось бы, чтобы уведомления о готовности документов приходили также по SMS, а не только в личный кабинет.",Предложение/Отзыв,"['хотеться', 'уведомление', 'готовность', 'документ', 'приходить', 'также', 'личный', 'кабинет']",хотеться уведомление готовность документ приходить также личный кабинет
В государственной поликлинике №5 невозможно дозвониться до регистратуры.,Жалоба,"['государственный', 'поликлиника', 'невозможный', 'дозвониться', 'регистратура']",государственный поликлиника невозможный дозвониться регистратура
"Существуют ли какие-либо налоговые вычеты для молодых специалистов, работающих в сельской местности?",Консультация/Вопрос,"['существовать', 'какой', 'либо', 'налоговый', 'вычет', 'молодой', 'специалист', 'работать', 'сельский', 'местность']",существовать какой либо налоговый вычет молодой специалист работать сельский местность
Как поставить ребенка на очередь в детский сад в городе Шымкент?,Запрос на госуслугу,"['поставить', 'ребенок', 'очередь', 'детский', 'сад', 'город', 'шымкент']",поставить ребенок очередь детский сад город шымкент
Ошибка при загрузке сканированных документов на портал лицензирования. Файл соответствует требованиям.,Техническая проблема,"['ошибка', 'загрузка', 'сканировать', 'документ', 'портал', 'лицензирование', 'файл', 'соответствовать', 'требование']",ошибка загрузка сканировать документ портал лицензирование файл соответствовать требование
"Отличная работа! Получил паспорт всего за 3 дня, очень быстро.",Предложение/Отзыв,"['отличный', 'работа', 'получить', 'паспорт', 'день', 'очень', 'быстро']",отличный работа получить паспорт день очень быстро
Мне отказали в предоставлении услуги без объяснения причин. Куда я могу подать апелляцию?,Жалоба,"['отказать', 'предоставление', 'услуга', 'объяснение', 'причина', 'мочь', 'подать', 'апелляция']",отказать предоставление услуга объяснение причина мочь подать апелляция
Где можно посмотреть список аккредитованных нотариусов для оформления доверенности?,Консультация/Вопрос,"['посмотреть', 'список', 'аккредитовать', 'нотариус', 'оформление', 'доверенность']",посмотреть список аккредитовать нотариус оформление доверенность
Нужно продлить срок действия водительского удостоверения. Это делается онлайн или нужно ехать в спецЦОН?,Запрос на госуслугу,"['нужный', 'продлить', 'срок', 'действие', 'водительский', 'удостоверение', 'это', 'делаться', 'онлайн', 'нужный', 'ехать', 'спеццон']",нужный продлить срок действие водительский удостоверение это делаться онлайн нужный ехать спеццон
Не работает поиск по сайту министерства юстиции.,Техническая проблема,"['работать', 'поиск', 'сайт', 'министерство', 'юстиция']",работать поиск сайт министерство юстиция
"Предлагаю создать единый колл-центр для всех государственных услуг, чтобы не звонить в разные ведомства.",Предложение/Отзыв,"['предлагать', 'создать', 'единый', 'колл', 'центр', 'государственный', 'услуга', 'звонить', 'разный', 'ведомство']",предлагать создать единый колл центр государственный услуга звонить разный ведомство
Почему информация о составе семьи в личном кабинете egov не обновляется автоматически после рождения ребенка?,Жалоба,"['почему', 'информация', 'состав', 'семья', 'личный', 'кабинет', 'обновляться', 'автоматически', 'рождение', 'ребенок']",почему информация состав семья личный кабинет обновляться автоматически рождение ребенок
Какие документы нужны для оформления временной прописки для гражданина РФ?,Запрос на госуслугу,"['какой', 'документ', 'нужный', 'оформление', 'временной', 'прописка', 'гражданин', 'рф']",какой документ нужный оформление временной прописка гражданин рф
"Не могу скачать шаблон заявления с вашего сайта, ссылка неактивна.",Техническая проблема,"['мочь', 'скачать', 'шаблон', 'заявление', 'ваш', 'сайт', 'ссылка', 'неактивный']",мочь скачать шаблон заявление ваш сайт ссылка неактивный
Спасибо за подробные инструкции на сайте по получению ЭЦП удаленно! Все получилось.,Предложение/Отзыв,"['спасибо', 'подробный', 'инструкция', 'сайт', 'получение', 'эцп', 'удаленно', 'получиться']",спасибо подробный инструкция сайт получение эцп удаленно получиться
"Записался на прием к врачу через egov, а в поликлинике моей записи нет. Как такое возможно?",Жалоба,"['записаться', 'прием', 'врач', 'поликлиника', 'мой', 'запись', 'такой', 'возможный']",записаться прием врач поликлиника мой запись такой возможный
Каков порядок действий при смене фамилии после замужества для всех документов?,Консультация/Вопрос,"['каков', 'порядок', 'действие', 'смена', 'фамилия', 'замужество', 'документ']",каков порядок действие смена фамилия замужество документ
Как получить выписку из пенсионного фонда о состоянии моих накоплений?,Запрос на госуслугу,"['получить', 'выписка', 'пенсионный', 'фонд', 'состояние', 'мой', 'накопление']",получить выписка пенсионный фонд состояние мой накопление
Приложение 'Цифровые документы' не отображает мое водительское удостоверение.,Техническая проблема,"['приложение', 'цифровой', 'документ', 'отображать', 'мой', 'водительский', 'удостоверение']",приложение цифровой документ отображать мой водительский удостоверение
Прошу добавить функцию экспорта истории платежей в Excel или PDF в личном кабинете налогоплательщика.,Предложение/Отзыв,"['просить', 'добавить', 'функция', 'экспорт', 'история', 'платеж', 'личный', 'кабинет', 'налогоплательщик']",просить добавить функция экспорт история платеж личный кабинет налогоплательщик
"Сотрудники миграционной службы в г. Караганда требуют документы, не указанные в официальном перечне.",Жалоба,"['сотрудник', 'миграционный', 'служба', 'г', 'караганда', 'требовать', 'документ', 'указать', 'официальный', 'перечень']",сотрудник миграционный служба г караганда требовать документ указать официальный перечень
Какие есть программы поддержки малого бизнеса для женщин-предпринимателей?,Консультация/Вопрос,"['какой', 'программа', 'поддержка', 'малый', 'бизнес', 'женщина', 'предприниматель']",какой программа поддержка малый бизнес женщина предприниматель
"Необходимо зарегистрировать автомобиль, привезенный из-за границы. Какова процедура?",Запрос на госуслугу,"['необходимый', 'зарегистрировать', 'автомобиль', 'привезти', 'граница', 'каков', 'процедура']",необходимый зарегистрировать автомобиль привезти граница каков процедура
При попытке подписать договор на портале госзакупок ЭЦП не распознается. NCALayer запущен.,Техническая проблема,"['попытка', 'подписать', 'договор', 'портал', 'госзакупка', 'эцп', 'распознаваться', 'запустить']",попытка подписать договор портал госзакупка эцп распознаваться запустить
Очень удобная функция автозаполнения данных из удостоверения личности на портале! Экономит время.,Предложение/Отзыв,"['очень', 'удобный', 'функция', 'автозаполнение', 'данные', 'удостоверение', 'личность', 'портал', 'экономить', 'время']",очень удобный функция автозаполнение данные удостоверение личность портал экономить время
Почему задерживают выплату детского пособия в этом месяце?,Жалоба,"['почему', 'задерживать', 'выплата', 'детский', 'пособие', 'месяц']",почему задерживать выплата детский пособие месяц
"Как проверить, есть ли у меня запрет на выезд за границу из-за долгов?",Консультация/Вопрос,"['проверить', 'запрет', 'выезд', 'граница', 'долг']",проверить запрет выезд граница долг
"Я хочу подать на развод, какие документы и куда нужно подавать?",Запрос на госуслугу,"['хотеть', 'подать', 'развод', 'какой', 'документ', 'нужный', 'подавать']",хотеть подать развод какой документ нужный подавать
"Не могу прикрепить ребенка к поликлинике онлайн, система выдает 'ИИН не найден'.",Техническая проблема,"['мочь', 'прикрепить', 'ребенок', 'поликлиника', 'онлайн', 'система', 'выдавать', 'иин', 'найти']",мочь прикрепить ребенок поликлиника онлайн система выдавать иин найти
Было бы полезно иметь чат-бота на сайте egov для ответа на часто задаваемые вопросы.,Предложение/Отзыв,"['полезный', 'иметь', 'чат', 'бот', 'сайт', 'ответ', 'часто', 'задавать', 'вопрос']",полезный иметь чат бот сайт ответ часто задавать вопрос
"В ответе на мое обращение содержатся только общие фразы, нет конкретного решения моей проблемы.",Жалоба,"['ответ', 'мой', 'обращение', 'содержаться', 'общий', 'фраза', 'конкретный', 'решение', 'мой', 'проблема']",ответ мой обращение содержаться общий фраза конкретный решение мой проблема
Каков размер государственной пошлины за замену паспорта в связи с истечением срока?,Консультация/Вопрос,"['каков', 'размер', 'государственный', 'пошлина', 'замена', 'паспорт', 'связь', 'истечение', 'срок']",каков размер государственный пошлина замена паспорт связь истечение срок
Как получить справку о зарегистрированных правах (обременениях) на недвижимое имущество?,Запрос на госуслугу,"['получить', 'справка', 'зарегистрировать', 'право', 'обременение', 'недвижимый', 'имущество']",получить справка зарегистрировать право обременение недвижимый имущество
Постоянно обрывается интернет-соединение при использовании образовательного портала Kundelik.,Техническая проблема,"['постоянно', 'обрываться', 'интернет', 'соединение', 'использование', 'образовательный', 'портал']",постоянно обрываться интернет соединение использование образовательный портал
Хочу поблагодарить за организацию онлайн-трансляций важных государственных мероприятий.,Предложение/Отзыв,"['хотеть', 'поблагодарить', 'организация', 'онлайн', 'трансляция', 'важный', 'государственный', 'мероприятие']",хотеть поблагодарить организация онлайн трансляция важный государственный мероприятие
Информация о вакансиях на государственной службе на сайте enbek.kz неактуальна.,Жалоба,"['информация', 'вакансия', 'государственный', 'служба', 'сайт', 'неактуальный']",информация вакансия государственный служба сайт неактуальный
Какие меры предпринимаются для улучшения экологии в промышленных городах Казахстана?,Консультация/Вопрос,"['какой', 'мера', 'предприниматься', 'улучшение', 'экология', 'промышленный', 'город', 'казахстан']",какой мера предприниматься улучшение экология промышленный город казахстан
Нужно получить разрешение на строительство частного дома. Какие инстанции нужно пройти?,Запрос на госуслугу,"['нужный', 'получить', 'разрешение', 'строительство', 'частный', 'дом', 'какой', 'инстанция', 'нужный', 'пройти']",нужный получить разрешение строительство частный дом какой инстанция нужный пройти
Не открывается раздел 'Мои дела' в приложении Aitu. Гос.услуги.,Техническая проблема,"['открываться', 'раздел', 'мой', 'дело', 'приложение', 'гос', 'услуга']",открываться раздел мой дело приложение гос услуга
Предлагаю ввести электронные трудовые книжки для всех работников.,Предложение/Отзыв,"['предлагать', 'ввести', 'электронный', 'трудовой', 'книжка', 'работник']",предлагать ввести электронный трудовой книжка работник
"Мне начислили штраф за парковку, хотя я оплатил ее через мобильное приложение. Есть скриншот.",Жалоба,"['начислить', 'штраф', 'парковка', 'хотя', 'оплатить', 'мобильный', 'приложение', 'скриншот']",начислить штраф парковка хотя оплатить мобильный приложение скриншот
Где найти информацию о программе 'Дипломмен ауылға'?,Консультация/Вопрос,"['найти', 'информация', 'программа', 'дипломмный', 'ауыл']",найти информация программа дипломмный ауыл
"Как зарегистрировать право собственности на квартиру, купленную на вторичном рынке?",Запрос на госуслугу,"['зарегистрировать', 'право', 'собственность', 'квартира', 'купить', 'вторичный', 'рынок']",зарегистрировать право собственность квартира купить вторичный рынок
"Не могу войти в систему СОНО для сдачи налоговой отчетности, забыл пароль, восстановление не работает.",Техническая проблема,"['мочь', 'войти', 'система', 'соно', 'сдача', 'налоговый', 'отчетность', 'забыть', 'пароль', 'восстановление', 'работать']",мочь войти система соно сдача налоговый отчетность забыть пароль восстановление работать
Очень доволен качеством предоставления услуг в новом спецЦОНе! Быстро и без очередей.,Предложение/Отзыв,"['очень', 'довольный', 'качество', 'предоставление', 'услуга', 'новый', 'спеццон', 'быстро', 'очередь']",очень довольный качество предоставление услуга новый спеццон быстро очередь
"Почему требуют нотариально заверенную копию документа, если есть возможность проверить его подлинность по QR-коду?",Жалоба,"['почему', 'требовать', 'нотариально', 'заверить', 'копия', 'документ', 'возможность', 'проверить', 'подлинность', 'код']",почему требовать нотариально заверить копия документ возможность проверить подлинность код
Какие документы нужны для получения гражданства Республики Казахстан?,Консультация/Вопрос,"['какой', 'документ', 'нужный', 'получение', 'гражданство', 'республика', 'казахстан']",какой документ нужный получение гражданство республика казахстан
Хочу встать на учет как безработный. Это можно сделать онлайн?,Запрос на госуслугу,"['хотеть', 'встать', 'учет', 'безработный', 'это', 'сделать', 'онлайн']",хотеть встать учет безработный это сделать онлайн
Приложение e-Salyq Azamat неверно отображает мои налоговые обязательства.,Техническая проблема,"['приложение', 'неверно', 'отображать', 'мой', 'налоговый', 'обязательство']",приложение неверно отображать мой налоговый обязательство
Прошу рассмотреть возможность упрощения процедуры получения разрешений для иностранных инвесторов.,Предложение/Отзыв,"['просить', 'рассмотреть', 'возможность', 'упрощение', 'процедура', 'получение', 'разрешение', 'иностранный', 'инвестор']",просить рассмотреть возможность упрощение процедура получение разрешение иностранный инвестор
"В детском саду требуют дополнительные взносы, не предусмотренные договором.",Жалоба,"['детский', 'сад', 'требовать', 'дополнительный', 'взнос', 'предусмотреть', 'договор']",детский сад требовать дополнительный взнос предусмотреть договор
Как узнать свой избирательный участок на предстоящих выборах?,Консультация/Вопрос,"['узнать', 'свой', 'избирательный', 'участок', 'предстоять', 'выбор']",узнать свой избирательный участок предстоять выбор
Нужна справка о наличии либо отсутствии судимости для трудоустройства.,Запрос на госуслугу,"['нужный', 'справка', 'наличие', 'либо', 'отсутствие', 'судимость', 'трудоустройство']",нужный справка наличие либо отсутствие судимость трудоустройство
Сайт Министерства труда и социальной защиты населения часто недоступен.,Техническая проблема,"['сайт', 'министерство', 'труд', 'социальный', 'защита', 'население', 'часто', 'недоступный']",сайт министерство труд социальный защита население часто недоступный
Предлагаю ввести систему оценки качества работы каждого ЦОНа гражданами.,Предложение/Отзыв,"['предлагать', 'ввести', 'система', 'оценка', 'качество', 'работа', 'каждый', 'цона', 'гражданин']",предлагать ввести система оценка качество работа каждый цона гражданин
"Отказывают в приеме документов для назначения пенсии, ссылаясь на неполный пакет. Какой именно документ отсутствует?",Жалоба,"['отказывать', 'прием', 'документ', 'назначение', 'пенсия', 'ссылаться', 'неполный', 'пакет', 'именно', 'документ', 'отсутствовать']",отказывать прием документ назначение пенсия ссылаться неполный пакет именно документ отсутствовать
Какие есть государственные программы по обмену старых автомобилей на новые?,Консультация/Вопрос,"['какой', 'государственный', 'программа', 'обмен', 'старый', 'автомобиль', 'новый']",какой государственный программа обмен старый автомобиль новый
"Как легализовать документы об образовании, полученные за рубежом, для использования в Казахстане?",Запрос на госуслугу,"['легализовать', 'документ', 'образование', 'получить', 'рубеж', 'использование', 'казахстан']",легализовать документ образование получить рубеж использование казахстан
"Мобильное приложение банка не позволяет оплатить налог на имущество, выдает ошибку связи с сервером налоговой.",Техническая проблема,"['мобильный', 'приложение', 'банк', 'позволять', 'оплатить', 'налог', 'имущество', 'выдавать', 'ошибка', 'связь', 'сервер', 'налоговый']",мобильный приложение банк позволять оплатить налог имущество выдавать ошибка связь сервер налоговый
"Хочу выразить признательность за внедрение 'Цифровых документов', это очень удобно!",Предложение/Отзыв,"['хотеть', 'выразить', 'признательность', 'внедрение', 'цифровой', 'документ', 'это', 'очень', 'удобный']",хотеть выразить признательность внедрение цифровой документ это очень удобный
Необоснованно высокая комиссия за предоставление выписки из реестра GZX.,Жалоба,"['необоснованно', 'высокий', 'комиссия', 'предоставление', 'выписка', 'реестр']",необоснованно высокий комиссия предоставление выписка реестр
Каков порядок получения лицензии на образовательную деятельность?,Консультация/Вопрос,"['каков', 'порядок', 'получение', 'лицензия', 'образовательный', 'деятельность']",каков порядок получение лицензия образовательный деятельность
